Municipality,DEWA ,KHDA,Police,DESC,Dubai Land,MBRHE (Housing),GDRFAD (Residency),DCD,CDA,RTA,DHA
Application for Soil Treatment,Bill Payment,Parent - School Contract,Criminal Status of Financial Cases,Trust Services,Al Ansari Exchange Branch Location,Apply for Housing Replacement Grant,Visa extension,Supply Installation Certificate,Periodic Benefits,Use nol Cards,Headache Clinic
Application for Verification and Attestation,Activation of Electricity/Water (Move-in),Parent - Early Childhood Centre Contract,eCrime,Cyber Security Polices & Regulations,Licensed real estate developers,Apply for Housing Maintenance and Addition Grant,Visa Cancelation,Safety Certificate (Building/ Unit Owner),Preparing House,Top Up nol Cards,Neonatology services
Apply for "To Whom it May Concern" Certificate related to building issues,Attending Technical Notifications – Electricity/Water (Smart Response),Education Providers Services,Tourist Police,Training & Support for ISR Implementation,Accredited real estate evaluation companies,Apply for housing land,Issuance of a work visa,Completion Certificate (Owner),Temporary Housing,Refund nol Cards Balance,Pediatric Endocrinology services
Apply for Approval for Interior Design of a Building in the Historical Areas,Track Requests with login,School Certificate Attestation,Report Bounced Cheques - Banks,Security Systems Consultation,Awards,Apply for housing grant,Issuance of a visit visa,Dry Riser Inspection,Financial Benefits for POD,Manage nol Cards,General pediatrics services
Apply for Approval of Public and Private Swimming Pool Drawings,DEWA Service Guide,Employee Services,Diplomatic Service,Cyber Security Awareness & Education,Approved financial (accounts) auditors,Apply for Housing construction grant,Issuance of a Residency visa,Safety Certificate (Free Zone Companies),Family Consultation,Purchase Travel Pass,Wellness Service
Apply for Building Technical Study,Customer Happiness Charter,Inspectors Services,Police Report Inquiry,Incidence Response,Approved escrow account trustees,Apply for apartment grant,Issuance of green visa,Building Renew,Embrace Program,Renew Travel Pass,Genitourinary Medicine Clinic
Apply for Bulk Waste Collection,Activation of Electricity/Water (Move-in),e-Feedback System,File Criminal Complaint,Penetration Testing,Accredited surveying companies,Apply for a housing construction request on a relative’s land,Temporary Work Permit,Preventive Inspection Service for Licensing,Human Rights Complaint,Purchase nol Card,Anasthsiology services
Apply for Calibration of Instruments and Equipment,Deactivation of Electricity/Water (Move-out),Educators Permit System,Bounce Cheque Report,Certificate Issuance Services,DLD Document Vault,Selling a ready-made house owned by the Establishment,Sponsorship File (individual),Final Completion Certificate,Thukhor Card,Apply for a Personal nol Card,Out Patient-Thalassemia and major Haemoglo...
Apply for Chalet Rental in Al Mamzar Park,Transfer of Electricity/Water (Move-to),,Victim Support,Network Security Gauge,Download Ejari Certificate,Apply for Housing Replacement Loan,Golden Residency,Request for Annual Maintenance Contracts Approval,Home Care Request-Waleef,Apply for Renewing or Replacing Personal nol Card,Day Care -Thalassemia and major Hemoglobin...
Apply for Changing a Consultant Before building permit Issuance,Getting Electricity Supply for Tents,,HQ Entry Permit,,E-executive deed,Apply for Housing Maintenance and Addition Loan,Status Adjustment,Request for subscription in the comprehensive safety program.,Care Giver Rehabilitation,e-Wallet Usage,Radiology
Apply for Completion and Services Connection,Attending Technical Notifications – Electricity/Water (Smart Response),,Night Work Permit,,Inquiry about your real estate services,Apply for readymade housing loan,Residency Visa,Request for licensing fire equipments distributor,Elderly Thukhor Club Registration,Apply for e-Wallet Account,Podiatry services
Apply for Conformity Certificate as per Factory Assessment,Smart Living,,Road Close Permit,,Joint Ownership Properties Management Companies,Apply for construction loan,Renewal of Residency Visa,Request for licensing fire equipments agent,Elderly Consultation,Top Up the e-Wallet Account,Immunology and Allergy
Apply for Conformity Certificate of a Specific Batch of Product,Consumption Verification - Electricity/Water,,Detainee Visit Request,,Judicial Judgments,Apply for housing unit loan from local market,Data Amendment of Residency Visa,Request for Houses of Expertise Approval,Intergenerational Communication,Manage the e-Wallet Account,Clinical Dietitian
Apply for Consumer Products Import and Re-Export Permit,Compare Multiple Accounts,,Corpse Entry Permit,,Judicial summons,Apply for housing unit rent,Cancellation of residency Visa,Request for Licensing Fire Equipments Installation & Maintenance Company,Temporary Rest Senior Citizen,Cancel the e-Wallet Account,Medical services for senior citizens
Apply for Consumer Products Registration (MONTAJI),My Sustainable Living Programme,,Police Museum Visit Permit,,Licensed real estate brokers,Apply for Exchange ready house with another ready house,(Companion) family members in residency Visa,Request for Fire Equipments Factory Licensing,New Sanad Card,Transport Using Dubai Tram,Pediatric hematology - oncology services
Apply for Correction of Existing Building Violations,High Water Usage Alert,,Inmate Visit Permit,,Licensed real estate brokerage companies,Apply for an Exchange housing land grant for another housing land grant,Transfer of residency Visa,Request for Houses of Expertise Approval,Renew Sanad Card,Transport Using the Metro,Medical oncology services
Apply for Engineering Staff Accreditation,Consumption Assessment Tool,,Fines Inquiry and Payment,,Real estate management companies,Change Service from Housing purchase Loan to Housing Construction Loan,Issuance of green Residency,Request for Licensing Fire Equipments Installation & Maintenance Company,Modify Sanad Card,Transport Using Buses Inside the Emirate,Clinical Hematology services
Apply for Establishing a New Control Point,View Bill,,Unknown Accident Report,,Names of ancient and modern regions,Cancel Approved Grant / Loan Application (under consideration),Issuance of Residency without work permission,Request for Fire Equipments Factory Licensing,Temporary Rest POD,Transport Using Buses Across Cities,Rheumatology services
Apply for Exceptions on Building Permits,EasyPay,,Reporting Vehicle Obstruction,,Inquiry about an application status,Cancel In Progress Application (Grant / Loan),Passport Renewal Service,Request for Technicians' Approval,Minors NOL,Transport Using Abra,Dental Implant Removal
Apply for Food Export / Food Export Health Certificate,Bill Payment,,Traffic Violations Copy,,Inquiry about a property status,To Whom It May Concern,Issuance of a Family Book Service,NOC for Hazard Material Transportation Vehicle Registration/Renewal,Request Payment,Transport Using Ferry Dubai,Interceptive orthodontic treatment
Apply for Free Sale Certificate for Consumer Products,My Bills,,Smart Impound,,Track Your Case,Request For One Year Maintenance,Circular about a sponsored person in the administrative list,Request for Licensing Gas Distribution Companies,,Transport Using Dubai WaterBus - AC Abra,Pre-Prosthetic Surgery
Apply for Geospatial Maps and Data,Bill Explanation,,Reissuing Accident Report,,Real Estate Consultation Offices,Apply for Typical Villa,Stop an circular in the administrative list,Request for HAZMAT Warehouse Approval,,Apply for Renting an Abra,Conservative periodontal treatment
Apply for Land Allocation for Public Services and Facilities,Connections Estimate Payment & Refund,,Traffic Training Courses,,Real Estate Services Trustee Centers,Payment of Arrears of Installments Due,Exit Permit Service,Request for the Approval of Dealing and Trading with HAZMAT & Chemical Materials,,Apply for Renting Dubai Water Taxi,Tooth Extractions
Apply for Land Levels verification certificate,Manage Collective Billing,,Change Vehicle Color,,Inquiry about a real estate project status,Apply For Early settlement,Temporary closure,Request for Balloons & Airship's Installation,,Apply for Renting Ferry Dubai,Teeth whitening
Apply for Livestock Slaughter,Manage Beneficiary Account List,,Traffic Fines Installment,,Real Estate Registrar Centers,Apply For Liability Letter,Fine collection,Request for Approving Flammable Liquid's Tanks,,Apply for Renting Dubai WaterBus,Oral inflammatory / Infection management
Apply for No Objection Permit for Health and Safety Related Activities,Tayseer (Smart Collection Platform),,Simple Accident Report,,Rental status sheet,Apply For Reducing the loan value,Issuance of statements,Request for re-exporting HAZMAT,,Pay Fines Related to Metro and Tram Passengers,surgical periodontal treatment
Apply for Permit for Play Area or Events,Tayseer (Smart Collection Platform),,Lost Item Certificate,,Inquiry about the rental index,Apply For Update Customer Data,Issuance of Establishment Card,Request for importing HAZMAT,,Pay Fines Related to Bus Riders,Tooth crowns for children
Apply for Public Health Pest Control,Request for Refund,,Police Clearance Certificate,,Inquiry about Services fees indicator,Self Financing Reward Awad,Renewal of Establishment Card,Request for Awareness Lectures,,Pay Fines Related to Marine Transport Passengers,Temporomandibular Joint managements
Apply for ROW Points Verification Certificate,Request for Clearance Certificate,,TWIMC Inmate Certificate,,Smart Judge,Apply For To Whom It May Concern Letter for projects with percentage of achievement,Ban,Request for Volunteers Services,,Transport Using Taxi Vehicles,Fixed prosthodontic appliances
Apply for Recreational Facilities Membership,Change/Update Premise Ownership,,Traffic Status Certificate,,Supplier Registration,Apply For Termination and suspension of current contractor,Issuance of representative's card,Request for Awareness Trips to Civil Defense Fire Stations,,Transport Using Luxury Vehicles,Dental Restorations
Apply for Recreational Fishing License (a Line and Hooks) from the coastline,Display Premise Number,,Traffic Clearance Certificate,,Verification of Certificate of Title / Title deed,Request a complaint against the contractor,Renewal of representative's card,Request for Awareness Demonstration on Fire Extinguishers Usage,,Information About Public Transport and Journey Planning,Teeth scaling and polishing
Apply for Register/Renewal/update of an Engineering Professional Practice Certificate,Request for Information Update,,TWIMC Certificate,,E-card Verification,Apply For Opening File for New Project,Data Amendment of representative's card,Request for "Salim the Fire Fighters" Shows,,Apply for Registering a New Vehicle,Surgical root canal treatment
Apply for Renewing a Construction License,Billing Services Inquiries,,Retirees Services,,Verification of the real estate licenses and permits,Apply For Running Payment,Cancelation of representative's card,Request for a Deleagte Card Issuance,,Apply for Renewing the Vehicle Ownership and Changing the Plate Number,Laser Treatment
Apply for Right Of Way Coordinates and Verification of Survey Points,Bill Payment Channels,,Home Security,,Verifying the Land Department evaluation certificate,Apply For Retention Payment,Cancelation of Establishment Card,To Whom It May Concern Letter,,Apply for Amending a Vehicle Ownership Data,Preventive dental service
Apply for Self-Decor Permit,Slab Tariff,,Public Tenders,,Verification of Taqeemi Certificate,Supplier and consultant Registration,Judicial Authorities Inquiry Service,Request for Electricity Reconnection,,Apply for a Statement of Registered Vehicles,Dental Implant services
Apply for Services Related to Death Cases,Tariff Calculator,,Ride With Dubai Mounted Police,,Fee Payment Receipt,,Legal Advice Service,Projects Drawings Approval,,Vehicle Online Selling Agreement,Removable prosthodontic appliances
Apply for Sewage Water Withdrawal,About VAT,,Virtual Museum,,Fee Refund Request,,Conciliation and Reconciliation Service,Hassantuk (Commercial) Building Registration,,Apply for a Vehicle Ownership Certificate,oral lesions Management
Apply for Structural Inspection,EV Green Charger Initiative,,Job Vacancies,,Registration of Owners Association Application,,Marine Ports Services,Evacuation Drill,,Apply for a Registration Certificate of the Vehicle First Owner,Dental Trauma management
Apply for Training at the Dubai Central Laboratory,EV Chargers Types & Instructions,,Medical Treatment Extension,,Search for Office Trade License,,"Issuing Visa via (Land port,Sea port,Air port)",To whomsoever it may concern - Inspection,,Apply for Replacing a Lost/Damaged Vehicle Possession Certificate,Pulpotomy of decideous tooth
Apply for Visiting Public Parks and Recreational Facilities,EV Charging,,Payment History,,Training,,,To whomsoever it may concern - New License/Renewal,,Apply for a To Whom It May Concern Certificate for Dubai Customs,Orthognathic treatment
Apply for a Consumer Product Advertising Permit,EV Account & Charging Card Management,,DP Leaders At Your Service,,Inquiry about a person whether it is a real estate owner,,,Request for a Compensation Report,,Apply for a Vehicle Non-Ownership Certificate,Dental Child Health
Apply for a Copy of the Approved Master Plan of Major Construction Projects,EV Services' Inquiries,,Suggestion,,RVS Complaints,,,Appointments,,Apply for an Insurance Refund Certificate,Pocket Reduction Procedures
Apply for a Fumigation Permit,Track EV Services' Request,,Feedback,,Real estate violations complaints,,,,,Apply for a Return from Tourism Certificate,Root canal therapy
Apply for a Hazardous Waste Transport Permit- HWTP,Display EV Green Charger Locations,,Child and Women Protection,,Inquiry about contractual disputes,,,,,Apply for Replacing a Lost/Damaged Vehicle Export Certificate,Comprehensive Orthodontic treatment
Apply for a New Building Permit,Dubai EV Community Hub,,Statistics Request,,Occupants registration application,,,,,Authenticate the Validity of the Vehicle Certificate,implant Prosthesis
Apply for a Night Works Permit in Under Construction Projects,Track Requests with login,,Event Security,,Approval of service fees and utilization fees application,,,,,Apply for Inspecting Classical Vehicles,The FETO-Maternal Medicine Services
Apply for a No Objection Certificate (NOC) for Well Drilling,DEWA Service Guide,,Fast Track,,Applying for approval to open a private bank account for the joint ownership property,,,,,Apply for Vehicle Technical Inspection,Emergency Services (Female)
Apply for a No Objection Certificate for Drainage and stormwater Networks,Services and Facilities for Senior Citizens & Residents,,File a Labor Complaint,,Registering real estate company application for practicing administrative supervision services of joint ownership properties,,,,,Apply for a Technical Vehicle Status Certificate,High risk pregnancy and morbidly adherent ...
Apply for a No Objection Certificate for Survey Works,Customer Happiness Charter,,People of Determination,,Registering employees having professional competence in the management of joint ownership properties application,,,,,Apply for Vehicle Renewal,Internal Medicine for Obstetric
Apply for a No Objection Certificate to Discharge Groundwater into Temporary Lagoons,Display Temporary Power Interruptions & Roads Works,,Heart Disease,,Applying for approval to change the bank account of the joint ownership property,,,,,Apply for Replacing a Lost/Damaged Vehicle Ownership Certificate,Gynecic Oncology service
Apply for a No Objection Certificate to Provide Pest Control Services,Follow These Steps During Rain and Extreme Weather Conditions,,Human Trafficking Victims,,Registration of Owners Association Application,,,,,Apply for a Possession Certificate of a Non-Registered Vehicle,General Obstetrics and Gynaecology
Apply for a No Objection Certificate to Visit Natural Reserves,Frequently Asked Questions & Tutorial Videos,,Application Status,,Applying for approval to change the bank Account Trustee of the joint ownership property,,,,,Apply for Vehicles Import Certificate,The Urogynecology service for female
Apply for a No Objection Certificate to Withdraw/Discharge Water from/to the Sea,Customer Care Centre Service,,Sport Facilities Request,,Request to register a sale associated with a initial mortgage,,,,,Apply for a Certificate for Non-Registered Vehicle,Gynecology and infertility service for wom...
Apply for a No Objection Certificate to Work in Cultivated Public Areas,Customer Happiness Centres (Self-Service),,Supplier Application,,Request for Bank Guarantee Cancellation,,,,,Apply for a Vehicle Clearance Certificate,Female Pelvic and Reconstructive Surgery s...
Apply for a No Objection Letter to Add New Meter or to Increase Electricity Current,Shams Dubai,,Destroy Explosives and Ammunition,,Depositing a mortgage into an escrow account application,,,,,Apply for a Vehicle Possession Certificate,The minimal access surgery service )Female...
Apply for a Painting and Maintenance permit,Shams Dubai Calculator,,Document Verification,,Request for registration a rent-to own property(initial),,,,,Apply for Changing a Vehicle Ownership,Dermatology Service
Apply for a Permit for Waste Management Activity (Collection/ Transport/ Trading),Connection Process,,Activities Request,,Request for registration of an initial usufruct,,,,,Apply for a Certificate of Change of Vehicle Possession,Internal Medicine services
"Apply for a Permit to Dispose of Hazardous and Commercial Waste, and Unwanted Materials",Safety Guide,,Renting Iron Barrier,,Approval / renewal of an Account Trustee and Auditing company Application,,,,,Apply for a Certificate of Vehicle Transfer from Dubai to Another Emirate,Adult critical care medicine services
Apply for a Permit to obtain Agricultural Soil,Shams Dubai: Customers & Residents,,Lecturer Request,,Request for Sub-division,,,,,Apply for a Certificate to Use the Vehicle Outside the UAE for Tourism Purposes,Surgical critical care services
Apply for a Pest Control Supervisor/Operator Card,Enrolled Solar PV Contractors & Consultants,,,,Request for real estate project Cancellation,,,,,Apply for a Vehicle Export Certificate,Doctor For Every Citizen
Apply for a Planning Permit,Publications & Resources,,,,Registration of real estate project application,,,,,Apply for a To Whom It May Concern Certificate of an Exported Vehicle,Otolaryngology (ENT) Clinic
Apply for a Sand Transfer Permit,Consumption Management Tips,,,,Settlements Application,,,,,Apply for Inspecting a Trailer and Semi-Trailer,Quit smoking Package
Apply for a Ship Sanitation Certificate,Sustainability Reports,,,,Request for Termination of Initial Registration,,,,,Apply for Ratifying and Adopting a Vehicle Inspection Certificate from Outside the UAE,Premarital Counselling Package
Apply for a Site Preparation and Excavation Permit,Events & Campaigns,,,,Transfer of registration fees from one property to another application,,,,,Apply for Appealing the Vehicle Technical Inspection Results,ANTENATAL CARE PACKAGE
Apply for a Site Survey Report,Green Pledge,,,,Application for Project profit withdrawal,,,,,Pay Vehicle Fines,Ophthalmology services(Adult/Pediatric)
Apply for a Smoking Area and Tobacco Selling Permit,Noor and Hayat Adventures,,,,Escrow account activation application,,,,,Pay Fines Related to Vehicle Pounding and Black Points,Optometry services
Apply for a Surveyor Certificate of Competency,Request for Temporary Power Disconnection,,,,"Amendment of the cap of administrative, marketing and Vat expenses application",,,,,Apply for Changing the Plate Number,Psychology services
Apply for a Technical Report Describing the Plot of Land with its Buildings/Facilities,Request Approval for Private Work (Individual/Business),,,,Request to amend the initial procedures data,,,,,Apply for Transferring the Plate Number Ownership,Psychiatry services
Apply for a Temporary Electricity Supply for Construction Sites,SOQOOC2:C56R Programme,,,,Cancel of Account Trustee and Auditing company Application,,,,,Apply for Purchasing a Special Plate Number,General Pulmonary (respiratory) Disease se...
Apply for a Temporary Occupation Permit,Building No Objection Certificate - Electricity/Water,,,,Change of project developer application,,,,,Apply for Renewing the Reservation of a Plate Number,Gynecology service
Apply for a Temporary Winter Camp Permit,Getting Water  Connections,,,,Request to complete the initial procedures data,,,,,Apply for Replacing a Lost/Damaged Plate Number,Memory Clinic Service
Apply for a Vehicle Permit to Transport General and Construction and Demolition Waste (NAFITH),Infrastructure Projects No Objection Certificate,,,,Request to Receive a Payment from the Project's Escrow Account,,,,,Apply for a Third Plate Number for Light Vehicle,Osteoporosis Service
Apply for an Advertising Content Permit,Infrastructure Projects No Objection Certificate,,,,Request to register the initial sale,,,,,Apply for Direct Purchasing of an Auction Special Plate Number,Orthopedic Clinic
Apply for an Advertising Display Permit on Lands,Track Applications for Project Owners,,,,Changing the name of a real estate project application,,,,,Apply for Transferring the Ownership of a Special Plate Number,Quit Smoking Package
Apply for an Advertising Permit on Buildings,DEWA Service Guide,,,,Project re-registration application,,,,,Apply for Transferring a Plate Number Reserved for Relatives,Health Education Services
Apply for an agricultural activity permit,MA’LEM DUBAI,,,,Apply for escrow account transfer,,,,,Apply for Participating in Open and Electronic Plate Number Auctions,Ophthalmology Services
Apply for public health pesticide efficacy test,Building No Objection Certificate - Electricity/Water,,,,Appeal case,,,,,Apply for Retrieving the Insurance Fees Deposited in an Auction,Adults Diabetes Medical Services
Apply for registration of Supplier/Importers of Certified Products,Demolishing Permits - Electricity/Water,,,,Dispute case (For amicable settlement),,,,,Enquire about Special Plate Numbers,Pediatrics Diabetes Medical Services
Apply for sand supply,Infrastructure Projects No Objection Certificate,,,,Execution case,,,,,Apply for a Commercial Licence Plate,General dental services
Apply for the Accreditation of a Pest Control Supervisor/Operator,Getting Water Connections,,,,Execution Case (Joint ownership),,,,,Apply for Renewing a Commercial Licence Plate,Oral and Maxillofacial Surgery services
Apply for the Classification of Public Health Pest Specimen,Water Network Modification,,,,Preliminary suit,,,,,Apply for Cancelling a Commercial Licence Plate,Endodontics services
Apply for the Resolution of Technical Disputes,Al Namoos -Getting electricity service,,,,Primary suit (joint property),,,,,Apply for a Licence Plate Trading Permit,Prosthodontics services
